,treat,species,seedlings,treeid
97,far,premna,0,k1.premna
98,far,premna,0,k1.premna
99,far,premna,0,r1.premna
100,far,premna,0,r1.premna
101,far,premna,0,r1.premna
102,far,premna,0,k1.premna
103,far,premna,1,r1.premna
104,far,premna,1,r1.premna
105,far,premna,0,r1.premna
106,far,premna,1,r1.premna
107,far,premna,1,r1.premna
108,far,premna,0,r1.premna
109,far,premna,0,r1.premna
110,far,premna,0,r1.premna
111,far,premna,0,r1.premna
112,far,premna,0,k1.premna
113,far,premna,0,r1.premna
115,far,premna,0,k1.premna
116,far,premna,0,k1.premna
117,far,premna,1,r1.premna
118,far,premna,0,r1.premna
119,far,premna,0,r1.premna
120,far,premna,1,r1.premna
121,far,premna,0,r1.premna
122,far,premna,0,k1.premna
123,far,premna,0,k1.premna
124,far,premna,0,r1.premna
125,far,premna,1,k1.premna
126,far,premna,0,k1.premna
128,far,premna,1,r1.premna
130,far,premna,1,k1.premna
131,far,premna,1,r1.premna
132,far,premna,1,k1.premna
134,far,premna,0,k1.premna
135,far,premna,1,r1.premna
136,far,premna,0,r1.premna
138,far,premna,0,r1.premna
139,far,premna,1,r1.premna
140,far,premna,1,r1.premna
141,far,premna,1,r1.premna
143,far,premna,0,r1.premna
144,far,premna,1,k1.premna
145,far,premna,1,r1.premna
146,far,premna,0,r1.premna
147,far,premna,0,r1.premna
148,far,premna,1,r1.premna
149,far,premna,1,k1.premna
150,far,premna,0,r1.premna
151,far,premna,1,r1.premna
152,far,premna,0,r1.premna
153,far,premna,1,k1.premna
154,far,premna,0,r1.premna
155,far,premna,1,r1.premna
156,far,premna,0,k1.premna
157,far,premna,1,r1.premna
158,far,premna,0,k1.premna
160,far,premna,1,r1.premna
161,far,premna,0,r1.premna
164,far,premna,1,r1.premna
167,far,premna,0,k1.premna
168,far,premna,0,k1.premna
169,far,premna,1,k1.premna
170,far,premna,0,r1.premna
171,far,premna,1,k1.premna
172,far,premna,1,r1.premna
173,far,premna,1,r1.premna
175,far,premna,1,r1.premna
176,far,premna,0,r1.premna
178,far,premna,0,k1.premna
179,far,premna,1,r1.premna
180,far,premna,0,k1.premna
181,far,premna,0,k1.premna
182,far,premna,1,r1.premna
183,far,premna,1,r1.premna
184,far,premna,1,r1.premna
185,far,premna,0,r1.premna
187,far,premna,1,r1.premna
188,far,premna,0,r1.premna
189,far,premna,1,r1.premna
193,near,premna,0,k1.premna
195,near,premna,1,r1.premna
196,near,premna,1,r1.premna
197,near,premna,0,r1.premna
199,near,premna,1,r1.premna
201,near,premna,0,r1.premna
202,near,premna,0,r1.premna
203,near,premna,1,k1.premna
204,near,premna,0,k1.premna
205,near,premna,1,r1.premna
206,near,premna,0,k1.premna
207,near,premna,1,r1.premna
208,near,premna,1,r1.premna
209,near,premna,0,r1.premna
210,near,premna,0,r1.premna
211,near,premna,0,k1.premna
212,near,premna,1,r1.premna
213,near,premna,1,r1.premna
214,near,premna,1,r1.premna
215,near,premna,1,r1.premna
216,near,premna,0,k1.premna
217,near,premna,0,r1.premna
218,near,premna,0,k1.premna
220,near,premna,0,r1.premna
221,near,premna,0,k1.premna
222,near,premna,0,r1.premna
223,near,premna,1,r1.premna
224,near,premna,1,r1.premna
225,near,premna,0,k1.premna
227,near,premna,1,k1.premna
228,near,premna,0,k1.premna
229,near,premna,0,r1.premna
230,near,premna,1,r1.premna
231,near,premna,1,r1.premna
232,near,premna,1,r1.premna
233,near,premna,1,k1.premna
234,near,premna,0,k1.premna
235,near,premna,0,k1.premna
236,near,premna,1,k1.premna
237,near,premna,1,k1.premna
238,near,premna,0,k1.premna
239,near,premna,1,r1.premna
240,near,premna,0,r1.premna
241,near,premna,1,r1.premna
242,near,premna,1,r1.premna
243,near,premna,1,r1.premna
244,near,premna,0,r1.premna
245,near,premna,0,k1.premna
246,near,premna,0,k1.premna
247,near,premna,0,r1.premna
248,near,premna,1,k1.premna
249,near,premna,0,k1.premna
251,near,premna,1,k1.premna
252,near,premna,0,r1.premna
253,near,premna,1,r1.premna
254,near,premna,1,k1.premna
255,near,premna,0,r1.premna
256,near,premna,0,k1.premna
257,near,premna,1,r1.premna
259,near,premna,1,r1.premna
260,near,premna,0,k1.premna
261,near,premna,0,k1.premna
262,near,premna,1,r1.premna
263,near,premna,1,r1.premna
265,near,premna,0,r1.premna
266,near,premna,0,k1.premna
267,near,premna,0,k1.premna
268,near,premna,1,r1.premna
269,near,premna,0,k1.premna
270,near,premna,0,r1.premna
271,near,premna,1,r1.premna
272,near,premna,1,r1.premna
274,near,premna,0,k1.premna
275,near,premna,0,r1.premna
276,near,premna,1,r1.premna
278,near,premna,1,r1.premna
280,near,premna,0,r1.premna
281,near,premna,0,r1.premna
283,near,premna,0,r1.premna
284,near,premna,0,r1.premna
285,near,premna,1,r1.premna
286,near,premna,1,r1.premna
287,near,premna,1,r1.premna
385,far,premna,1,r1.premna
386,far,premna,1,r1.premna
387,far,premna,0,r1.premna
388,far,premna,0,r1.premna
389,far,premna,1,r1.premna
390,far,premna,1,r1.premna
391,far,premna,0,r1.premna
392,far,premna,1,r1.premna
393,far,premna,1,r1.premna
394,far,premna,1,r1.premna
395,far,premna,1,r1.premna
396,far,premna,0,r1.premna
397,far,premna,0,r1.premna
398,far,premna,1,r1.premna
399,far,premna,1,r1.premna
400,far,premna,1,r1.premna
401,far,premna,1,r1.premna
402,far,premna,0,r1.premna
403,far,premna,1,k3.premna
404,far,premna,1,k3.premna
405,far,premna,1,k3.premna
406,far,premna,0,k3.premna
407,far,premna,0,k3.premna
408,far,premna,1,k3.premna
409,far,premna,0,k3.premna
410,far,premna,0,k3.premna
411,far,premna,1,k3.premna
412,far,premna,0,k3.premna
413,far,premna,0,k3.premna
414,far,premna,1,k3.premna
415,far,premna,1,k3.premna
416,far,premna,1,k3.premna
417,far,premna,1,k3.premna
418,far,premna,1,k3.premna
419,far,premna,1,k3.premna
420,far,premna,1,k3.premna
421,far,premna,1,k3.premna
422,far,premna,1,k3.premna
423,far,premna,1,k3.premna
424,far,premna,0,k3.premna
425,far,premna,1,k3.premna
426,far,premna,1,k3.premna
427,far,premna,1,k3.premna
428,far,premna,1,k3.premna
429,far,premna,1,k3.premna
430,far,premna,1,k3.premna
431,far,premna,1,k3.premna
432,far,premna,0,k3.premna
433,far,premna,0,k3.premna
434,far,premna,1,k3.premna
435,far,premna,0,k3.premna
436,far,premna,0,k3.premna
437,far,premna,1,k3.premna
438,far,premna,0,k3.premna
439,far,premna,0,k3.premna
440,far,premna,0,k3.premna
441,far,premna,1,k3.premna
442,far,premna,1,k3.premna
443,far,premna,0,k3.premna
444,far,premna,1,k3.premna
445,far,premna,1,k3.premna
446,far,premna,1,k3.premna
447,far,premna,1,k3.premna
448,far,premna,1,k3.premna
449,far,premna,1,k3.premna
450,far,premna,1,k3.premna
451,far,premna,0,k3.premna
452,far,premna,1,k3.premna
453,far,premna,0,k3.premna
454,far,premna,0,k3.premna
455,far,premna,1,k3.premna
456,far,premna,1,k3.premna
457,far,premna,0,k3.premna
458,far,premna,0,k3.premna
459,far,premna,1,k3.premna
460,far,premna,0,k3.premna
461,far,premna,0,k3.premna
462,far,premna,0,k3.premna
463,far,premna,0,k3.premna
464,far,premna,1,k3.premna
465,far,premna,0,k3.premna
466,far,premna,0,k3.premna
467,far,premna,0,k3.premna
468,far,premna,0,k3.premna
469,far,premna,0,k3.premna
470,far,premna,0,k3.premna
471,far,premna,1,k3.premna
472,far,premna,0,k3.premna
473,far,premna,0,k3.premna
474,far,premna,0,k3.premna
475,far,premna,0,k3.premna
476,far,premna,1,k3.premna
477,far,premna,1,k3.premna
478,far,premna,0,k3.premna
479,far,premna,0,k3.premna
480,far,premna,0,k3.premna
481,near,premna,1,r1.premna
482,near,premna,1,r1.premna
483,near,premna,0,r1.premna
484,near,premna,0,r1.premna
485,near,premna,0,r1.premna
486,near,premna,0,r1.premna
487,near,premna,1,r1.premna
488,near,premna,1,r1.premna
489,near,premna,1,r1.premna
490,near,premna,1,r1.premna
491,near,premna,0,r1.premna
492,near,premna,0,r1.premna
493,near,premna,0,r1.premna
494,near,premna,1,r1.premna
495,near,premna,0,r1.premna
496,near,premna,1,k3.premna
497,near,premna,0,k3.premna
498,near,premna,0,k3.premna
499,near,premna,1,k3.premna
500,near,premna,1,k3.premna
501,near,premna,1,k3.premna
502,near,premna,1,k3.premna
503,near,premna,0,k3.premna
504,near,premna,1,k3.premna
505,near,premna,0,k3.premna
506,near,premna,1,k3.premna
507,near,premna,1,k3.premna
508,near,premna,1,k3.premna
509,near,premna,1,k3.premna
510,near,premna,1,k3.premna
511,near,premna,1,k3.premna
512,near,premna,0,k3.premna
513,near,premna,0,k3.premna
514,near,premna,1,k3.premna
515,near,premna,1,k3.premna
516,near,premna,1,k3.premna
517,near,premna,0,k3.premna
518,near,premna,1,k3.premna
519,near,premna,1,k3.premna
520,near,premna,0,k3.premna
521,near,premna,0,k3.premna
522,near,premna,0,k3.premna
523,near,premna,0,k3.premna
524,near,premna,0,k3.premna
525,near,premna,0,k3.premna
526,near,premna,0,k3.premna
527,near,premna,0,k3.premna
528,near,premna,0,k3.premna
529,near,premna,0,k3.premna
530,near,premna,1,k3.premna
531,near,premna,0,k3.premna
532,near,premna,0,k3.premna
533,near,premna,0,k3.premna
534,near,premna,1,k3.premna
535,near,premna,1,k3.premna
536,near,premna,1,k3.premna
537,near,premna,1,k3.premna
538,near,premna,1,k3.premna
539,near,premna,0,k3.premna
540,near,premna,0,k3.premna
541,near,premna,1,k3.premna
542,near,premna,0,k3.premna
543,near,premna,1,k3.premna
544,near,premna,0,k3.premna
545,near,premna,1,k3.premna
546,near,premna,0,k3.premna
547,near,premna,1,k3.premna
548,near,premna,0,k3.premna
549,near,premna,0,k3.premna
550,near,premna,0,k3.premna
551,near,premna,1,k3.premna
552,near,premna,0,k3.premna
553,near,premna,1,k3.premna
554,near,premna,1,k3.premna
555,near,premna,1,k3.premna
556,near,premna,1,k3.premna
557,near,premna,1,k3.premna
558,near,premna,0,k3.premna
559,near,premna,1,k3.premna
560,near,premna,0,k3.premna
561,near,premna,0,k3.premna
562,near,premna,1,k3.premna
563,near,premna,1,k3.premna
564,near,premna,1,k3.premna
565,near,premna,1,k3.premna
566,near,premna,0,k3.premna
567,near,premna,0,k3.premna
568,near,premna,0,k3.premna
569,near,premna,0,k3.premna
570,near,premna,0,k3.premna
571,near,premna,0,k3.premna
572,near,premna,0,k3.premna
573,near,premna,1,k3.premna
574,near,premna,1,k3.premna
575,near,premna,0,k3.premna
576,near,premna,1,k3.premna
673,far,premna,0,k3.premna
674,far,premna,0,k3.premna
675,far,premna,1,k3.premna
676,far,premna,1,k3.premna
677,far,premna,1,k3.premna
678,far,premna,0,k3.premna
679,far,premna,1,k3.premna
680,far,premna,0,k3.premna
681,far,premna,1,k3.premna
682,far,premna,1,k3.premna
683,far,premna,1,k3.premna
684,far,premna,1,k3.premna
685,far,premna,0,k3.premna
686,far,premna,1,k3.premna
687,far,premna,1,k3.premna
688,far,premna,1,k3.premna
689,far,premna,0,k3.premna
690,far,premna,0,k3.premna
691,far,premna,1,k3.premna
692,far,premna,1,k3.premna
693,far,premna,1,k3.premna
694,far,premna,0,k3.premna
695,far,premna,0,k3.premna
696,far,premna,1,k3.premna
697,far,premna,1,k3.premna
698,far,premna,0,k3.premna
699,far,premna,1,k3.premna
700,far,premna,0,k3.premna
701,far,premna,0,k3.premna
702,far,premna,0,k3.premna
703,far,premna,1,k3.premna
704,far,premna,1,k3.premna
705,far,premna,1,k3.premna
706,far,premna,0,k3.premna
707,far,premna,1,k3.premna
708,far,premna,0,k3.premna
709,far,premna,1,k3.premna
710,far,premna,0,k3.premna
711,far,premna,0,k3.premna
712,far,premna,0,k3.premna
713,far,premna,0,k3.premna
714,far,premna,1,a3.premna
715,far,premna,1,r1.premna
716,far,premna,1,r1.premna
717,far,premna,1,a3.premna
718,far,premna,1,a1.premna
719,far,premna,0,r1.premna
720,far,premna,0,a2.premna
721,far,premna,0,a1.premna
722,far,premna,0,a1.premna
723,far,premna,0,a1.premna
724,far,premna,1,r1.premna
725,far,premna,1,a2.premna
726,far,premna,1,a2.premna
727,far,premna,1,a1.premna
728,far,premna,1,r1.premna
729,far,premna,0,a1.premna
730,far,premna,1,a1.premna
731,far,premna,1,a2.premna
732,far,premna,1,a1.premna
733,far,premna,1,r1.premna
734,far,premna,1,r1.premna
735,far,premna,1,r1.premna
736,far,premna,1,r1.premna
737,far,premna,1,r1.premna
738,far,premna,1,a2.premna
739,far,premna,0,a1.premna
740,far,premna,0,a1.premna
741,far,premna,0,a1.premna
742,far,premna,0,a1.premna
743,far,premna,1,r1.premna
744,far,premna,1,a2.premna
745,far,premna,1,a3.premna
746,far,premna,1,a3.premna
747,far,premna,0,a1.premna
748,far,premna,1,r1.premna
749,far,premna,1,r1.premna
750,far,premna,0,a1.premna
751,far,premna,0,a2.premna
752,far,premna,1,a3.premna
753,far,premna,1,a3.premna
754,far,premna,1,a2.premna
755,far,premna,1,r1.premna
756,far,premna,1,a1.premna
757,far,premna,1,a1.premna
758,far,premna,0,r1.premna
759,far,premna,1,a1.premna
760,far,premna,1,a2.premna
761,far,premna,1,a1.premna
762,far,premna,1,a3.premna
763,far,premna,1,a2.premna
764,far,premna,1,a2.premna
765,far,premna,1,a2.premna
766,far,premna,1,a2.premna
767,far,premna,0,r1.premna
768,far,premna,1,a2.premna
769,near,premna,1,k3.premna
770,near,premna,0,k3.premna
771,near,premna,1,k3.premna
772,near,premna,1,k3.premna
773,near,premna,1,k3.premna
774,near,premna,1,k3.premna
775,near,premna,1,k3.premna
776,near,premna,1,k3.premna
777,near,premna,1,k3.premna
778,near,premna,0,k3.premna
779,near,premna,1,k3.premna
780,near,premna,1,k3.premna
781,near,premna,1,k3.premna
782,near,premna,1,k3.premna
783,near,premna,1,k3.premna
784,near,premna,0,k3.premna
785,near,premna,1,k3.premna
786,near,premna,0,k3.premna
787,near,premna,0,k3.premna
788,near,premna,0,k3.premna
789,near,premna,0,k3.premna
790,near,premna,0,k3.premna
791,near,premna,1,k3.premna
792,near,premna,0,k3.premna
793,near,premna,1,k3.premna
794,near,premna,0,k3.premna
795,near,premna,0,k3.premna
796,near,premna,0,k3.premna
797,near,premna,0,k3.premna
798,near,premna,0,k3.premna
799,near,premna,0,k3.premna
800,near,premna,0,k3.premna
801,near,premna,0,k3.premna
802,near,premna,0,k3.premna
803,near,premna,1,k3.premna
804,near,premna,0,k3.premna
805,near,premna,0,k3.premna
806,near,premna,0,k3.premna
807,near,premna,0,a2.premna
808,near,premna,0,r1.premna
809,near,premna,0,r1.premna
810,near,premna,0,r1.premna
811,near,premna,0,a2.premna
812,near,premna,0,a3.premna
813,near,premna,0,a2.premna
814,near,premna,0,a2.premna
815,near,premna,0,r1.premna
816,near,premna,0,a3.premna
817,near,premna,1,r1.premna
818,near,premna,1,r1.premna
819,near,premna,1,a3.premna
820,near,premna,1,a2.premna
821,near,premna,1,a2.premna
822,near,premna,1,a2.premna
823,near,premna,0,a3.premna
824,near,premna,1,a1.premna
825,near,premna,1,a1.premna
826,near,premna,1,r1.premna
827,near,premna,0,a1.premna
828,near,premna,0,a1.premna
829,near,premna,0,a3.premna
830,near,premna,1,r1.premna
831,near,premna,0,a3.premna
832,near,premna,0,a2.premna
833,near,premna,0,r1.premna
834,near,premna,0,r1.premna
835,near,premna,1,a3.premna
836,near,premna,1,a1.premna
837,near,premna,0,a2.premna
838,near,premna,0,r1.premna
839,near,premna,1,a2.premna
840,near,premna,1,r1.premna
841,near,premna,0,r1.premna
842,near,premna,0,a1.premna
843,near,premna,1,a3.premna
844,near,premna,0,a2.premna
845,near,premna,0,a1.premna
846,near,premna,0,a1.premna
847,near,premna,1,a1.premna
848,near,premna,0,a3.premna
849,near,premna,1,r1.premna
850,near,premna,0,r1.premna
851,near,premna,0,a1.premna
852,near,premna,0,a3.premna
853,near,premna,0,a1.premna
854,near,premna,0,a1.premna
855,near,premna,0,a1.premna
856,near,premna,0,a1.premna
857,near,premna,0,a2.premna
858,near,premna,0,a2.premna
859,near,premna,0,a2.premna
860,near,premna,0,a3.premna
861,near,premna,0,a1.premna
862,near,premna,0,a1.premna
863,near,premna,0,a1.premna
864,near,premna,1,a3.premna
961,far,premna,1,a3.premna
962,far,premna,1,a3.premna
963,far,premna,1,a3.premna
964,far,premna,1,a3.premna
965,far,premna,0,a2.premna
966,far,premna,1,a2.premna
