,island,site,trt,germ,species,seed_input
1,Saipan,LTLT,HA,1,premna,1
2,Saipan,LTLT,HA,1,premna,1
3,Saipan,LTLT,HA,1,premna,1
4,Saipan,LTLT,HA,1,premna,1
5,Saipan,LTLT,HA,1,premna,1
6,Saipan,LTLT,HA,1,premna,1
7,Saipan,LTLT,HA,1,premna,1
8,Saipan,TR1L,UH,1,premna,1
9,Saipan,TR1L,HA,1,premna,1
10,Saipan,TR1L,UH,1,premna,1
12,Tinian,CHNE,HA,1,premna,1
13,Tinian,CHNE,HA,1,premna,1
14,Tinian,CHNE,HA,1,premna,1
15,Saipan,LTLT,HA,1,premna,1
16,Saipan,LTLT,HA,1,premna,1
17,Tinian,JPCC,HA,1,premna,1
18,Tinian,JPCC,HA,1,premna,1
19,Saipan,LTLT,HA,1,premna,1
20,Saipan,LTLT,HA,1,premna,1
21,Tinian,JPCC,HA,1,premna,1
22,Tinian,JPCC,HA,1,premna,1
23,Tinian,CHNE,HA,1,premna,1
25,Tinian,CHNE,HA,1,premna,1
29,Saipan,LTLT,HA,1,premna,1
30,Saipan,TR1L,HA,1,premna,1
33,Saipan,LTLT,HA,1,premna,1
34,Saipan,TR1L,HA,1,premna,1
35,Tinian,JPCC,HA,1,premna,1
36,Tinian,JPCC,HA,1,premna,1
39,Tinian,JPCC,HA,1,premna,1
40,Tinian,CHNE,HA,1,premna,1
41,Tinian,CHNE,HA,1,premna,1
42,Tinian,CHNE,HA,1,premna,1
43,Tinian,CHNE,HA,1,premna,1
44,Saipan,LTPT,HA,1,premna,1
45,Rota,JCPS,HA,1,premna,1
46,Saipan,LTLT,HA,1,premna,1
48,Saipan,TR1L,HA,1,premna,1
49,Tinian,JPCC,HA,1,premna,1
51,Tinian,CHNE,UH,1,premna,1
52,Tinian,CHNE,UH,1,premna,1
53,Rota,JCPN,HA,1,premna,1
54,Saipan,LTLT,HA,1,premna,1
56,Saipan,TR1L,HA,1,premna,1
58,Tinian,CHNE,HA,1,premna,1
59,Tinian,CHNE,HA,1,premna,1
60,Tinian,CHNE,UH,1,premna,1
61,Rota,JCPS,HA,1,premna,1
62,Rota,JCPS,HA,1,premna,1
63,Rota,JCPS,HA,1,premna,1
69,Saipan,LTLT,HA,1,premna,1
70,Saipan,LTLT,HA,1,premna,1
71,Saipan,TR1L,HA,1,premna,1
72,Saipan,TR1L,HA,1,premna,1
73,Saipan,TR1L,HA,1,premna,1
78,Tinian,CHLC,HA,1,premna,1
79,Tinian,CHLC,HA,1,premna,1
80,Tinian,JAPC,HA,1,premna,1
81,Tinian,JPCC,HA,1,premna,1
83,Tinian,CHNE,HA,1,premna,1
84,Saipan,LTPT,HA,1,premna,1
85,Rota,JCPN,UH,1,premna,1
86,Rota,JCPN,HA,1,premna,1
87,Rota,JCPN,UH,1,premna,1
88,Rota,JCPN,HA,1,premna,1
89,Rota,JCPN,HA,1,premna,1
90,Rota,JCPN,HA,1,premna,1
92,Rota,JCPN,UH,1,premna,1
94,Saipan,LTLT,HA,1,premna,1
95,Saipan,TR1L,HA,1,premna,1
99,Rota,JCPN,UH,1,premna,1
100,Rota,JCPS,UH,1,premna,1
102,Saipan,LTLT,HA,1,premna,1
103,Saipan,TR1L,HA,1,premna,1
107,Rota,JCPN,HA,1,premna,1
108,Rota,JCPN,HA,1,premna,1
109,Rota,JCPN,UH,1,premna,1
113,Tinian,CHNE,UH,1,premna,1
115,Rota,JCPS,HA,1,premna,1
118,Tinian,CHNE,UH,1,premna,1
119,Rota,JCPS,HA,1,premna,1
122,Tinian,JPCC,HA,1,premna,1
123,Tinian,CHNE,UH,1,premna,1
124,Rota,JCPS,HA,1,premna,1
125,Saipan,LTLT,UH,1,premna,1
126,Tinian,CHLC,UH,1,premna,1
127,Tinian,JPCC,HA,1,premna,1
128,Saipan,LTPT,HA,1,premna,1
129,Rota,JCPN,UH,1,premna,1
132,Saipan,LTPT,UH,1,premna,1
133,Saipan,LTLT,HA,1,premna,1
137,Rota,JCPS,HA,1,premna,1
138,Tinian,JPCC,HA,1,premna,1
139,Tinian,JPCC,HA,1,premna,1
140,Saipan,LTPT,HA,1,premna,1
142,Rota,JCPS,HA,1,premna,1
145,Rota,JCPN,UH,1,premna,1
146,Rota,JCPN,HA,1,premna,1
148,Saipan,TR1L,HA,1,premna,1
150,Saipan,TR1L,HA,1,premna,1
151,Saipan,LTPT,UH,1,premna,1
152,Saipan,LTPT,UH,1,premna,1
153,Rota,JCPN,UH,1,premna,1
