,current_name,correction,Notes
38,Alouatta fusca,Alouatta guariba,
39,Aratinga astec,Aratinga nana,
40,Artibeus sp1 M SD 022,Artibeus,
41,Atilla rufus,Attila rufus,
42,Atlapetes gutturalis,Atlapetes albinucha,
43,Baillonius bailloni,Pteroglossus bailloni,
44,Brachyteles aracnoides,Brachyteles arachnoides,
45,Carpornis cucullatus,Carpornis cucullata,
1,Catharus guttata,Catharus guttatus,
46,Centurus aurifrons,Melanerpes aurifrons,
47,Centurus pygmaeus,Melanerpes pygmaeus,
48,Cercocebus albigena,Lophocebus albigena,
49,Cissilopha yucatanica,Cyanocorax yucatanicus,
50,Cissopis leveriana,Cissopis leverianus,
51,Columba fasciata,Patagioenas fasciata,
52,Columba flavirostris,Patagioenas flavirostris,
53,Columba plumbea,Patagioenas plumbea,
9,Columba squamosa,Patagioenas squamosa,
15,Columba squamosa,Patagioenas squamosa,
18,Columba squamosa,Patagioenas squamosa,
22,Columba squamosa,Patagioenas squamosa,
54,Conopias trivirgata,Conopias trivirgatus,
55,Coracina melaena,Edolisoma melas,
56,Criniger bres,Alophoixus bres,
57,Criniger finschii,Alophoixus finschii,
58,Criniger phaeocephalus,Alophoixus phaeocephalus,
59,Cyclopsittaca gulielmiterti,Cyclopsitta gulielmitertii,
60,Dicaeum chrysorrherum,Dicaeum chrysorrheum,
6,Diphyllodes magnificus,Cicinnurus magnificus,
,Edolisoma melas,Coracina melas,
7,Epimachus albertisii,Epimachus albertisi,
61,Harpactes diardi,Harpactes diardii,
34,Hypsipetes amaurotis,Ixos amaurotis,
62,Hypsipetes charlottae,Iole olivacea,
63,Hypsipetes criniger,Tricholestes criniger,
64,Hypsipetes flavala,Hemixos flavala,
65,Hypsipetes malaccensis,Ixos malaccensis,
66,Hypsipetes philippinus,Ixos philippinus,
67,Irene puella,Irena puella,
68,Manucodia chalybata,Manucodia chalybatus,
69,Mazama sp1 M SD 022,Mazama,
70,Megarhynchus pitangua,Megarynchus pitangua,
3,Melanerpes carolinensis,Melanerpes carolinus,
71,Melilestes megarhycus,Melilestes megarhynchus,
72,Meliphaga sp1 M SD 018,Meliphaga,
73,Mino dumonti,Mino dumontii,
17,Myarchus antillarum,Myiarchus antillarum,
20,Myarchus antillarum,Myiarchus antillarum,
23,Myarchus antillarum,Myiarchus antillarum,
74,Nesospingus sp1 M SD 003,Nesospingus,
75,Nesospingus sp1 M SD 004,Nesospingus,
11,Nesospingus sp1 M_SD_003,Nesospingus,
13,Nesospingus sp1 M_SD_004,Nesospingus,
76,Parasidea raggiana,Paradisaea raggiana,
2,Parus bicolor,Baeolophus bicolor,
77,Philander frenata,Philander frenatus,
78,Piculus rubiginosus,Colaptes rubiginosus,
5,Pipilo erythophtalmus,Pipilo erythrophthalmus,
79,Pitylus fuliginosus,Saltator fuliginosus,
80,Platycichla flavipes,Turdus flavipes,
81,Platyrrhinus sp1 M SD 022,Platyrrhinus,
82,Procnias tricarunculata,Procnias tricarunculatus,
83,Psilhorinus morio,Cyanocorax morio,
84,Psilorhinus morio,Cyanocorax morio,
85,Pteroglossus torguatus,Pteroglossus torquatus,
86,Pycnonotus goavier,Pycnonotus goiavier,
87,Reinwardtoena reinwardtii,Reinwardtoena reinwardtsi,
88,Rhabdornis mysticalis,Rhabdornis mystacalis,
89,Rhyticeros corrugatus,Aceros corrugatus,
90,Rhyticeros plicatus,Aceros plicatus,
91,Saxicola torquata,Saxicola torquatus,
33,Serinus citinella,Carduelis citrinella,
35,Sphenurus formosae,Treron formosae,
92,Streptopelia chinensis,Stigmatopelia chinensis,
93,Thrauphis episcopus,Thraupis episcopus,
37,Turdus dauma,Zoothera dauma,
31,Tyrannus savanna,Tyrannus savana,
32,Tyrannus savanna,Tyrannus savana,
94,Unidentified sp1 M SD 003,Unidentified,
12,Unidentified sp1 M_SD_003,NA,
8,Vireo altiloquous,Vireo altiloquus,
14,Vireo altiloquous,Vireo altiloquus,
19,Vireo altiloquous,Vireo altiloquus,
21,Vireo altiloquous,Vireo altiloquus,
95,Vireo chivi,Vireo olivaceus,
16,Vireo flavirostris,Vireo flavifrons,See Tomas Carlo 2003. Vireo flavoviridis doesn't occur in Puerto Rico
24,Vireo flavirostris,Vireo flavifrons,
96,Xanthotis polygramma,Xanthotis polygrammus,
10,Zenaida zenaida,Zenaida aurita,
4,Zenaidura macroura,Zenaida macroura,
36,Zosterops japonica,Zosterops japonicus,
