"","Scientific","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.Source","Diet.Certainty","BodyMass.Value","taxon"
"1","Tachyglossus aculeatus",100,0,0,0,0,0,0,0,0,0,"Ref_1","ABC",3025,"mammal"
"2","Zaglossus attenboroughi",100,0,0,0,0,0,0,0,0,0,"Ref_65","ABC",8532.39,"mammal"
"3","Zaglossus bartoni",100,0,0,0,0,0,0,0,0,0,"Ref_2","D1",7180,"mammal"
"4","Zaglossus bruijni",100,0,0,0,0,0,0,0,0,0,"Ref_1","ABC",10139.5,"mammal"
"5","Ornithorhynchus anatinus",80,0,0,20,0,0,0,0,0,0,"Ref_1","ABC",1484.25,"mammal"
"6","Caluromys philander",20,0,0,0,10,0,20,0,10,40,"Ref_1","ABC",229.25,"mammal"
"7","Caluromys derbianus",20,0,0,0,10,0,20,0,10,40,"Ref_1","ABC",297,"mammal"
"8","Caluromys lanatus",20,0,0,0,10,0,20,0,10,40,"Ref_1","ABC",325,"mammal"
"9","Caluromysiops irrupta",20,0,0,0,0,0,20,40,0,20,"Ref_1","ABC",250,"mammal"
"10","Glironia venusta",40,0,0,0,20,0,20,0,20,0,"Ref_1","ABC",114,"mammal"
"11","Chironectes minimus",50,0,0,30,0,0,0,0,0,20,"Ref_1","ABC",946,"mammal"
"12","Didelphis aurita",20,0,0,0,30,30,0,0,0,20,"Ref_1","ABC",1163.99,"mammal"
"13","Didelphis imperfecta",50,0,0,0,0,0,50,0,0,0,"Ref_1","ABC",1260.04,"mammal"
"14","Didelphis marsupialis",20,0,0,0,30,30,0,0,0,20,"Ref_1","ABC",1091.16,"mammal"
"15","Didelphis pernigra",20,0,0,0,30,30,0,0,0,20,"Ref_2","D1",1260.04,"mammal"
"16","Didelphis virginiana",20,0,0,0,30,30,0,0,0,20,"Ref_1","ABC",2195.48,"mammal"
"17","Didelphis albiventris",20,0,0,0,30,30,0,0,0,20,"Ref_1","ABC",904,"mammal"
"18","Gracilinanus formosus",50,0,0,0,0,0,30,20,0,0,"Ref_2","D1",18.9,"mammal"
"19","Gracilinanus emiliae",50,0,0,0,0,0,30,20,0,0,"Ref_1","ABC",7.6,"mammal"
"20","Gracilinanus microtarsus",50,0,0,0,0,0,30,20,0,0,"Ref_1","ABC",31,"mammal"
"21","Gracilinanus marica",50,0,0,0,0,0,30,20,0,0,"Ref_1","ABC",23.8,"mammal"
"22","Gracilinanus dryas",50,0,0,0,0,0,30,20,0,0,"Ref_1","ABC",18,"mammal"
"23","Gracilinanus aceramarcae",50,0,0,0,0,0,30,20,0,0,"Ref_1","ABC",20.5,"mammal"
"24","Gracilinanus agricolai",50,0,0,0,0,0,30,20,0,0,"Ref_2","D1",18.9,"mammal"
"25","Gracilinanus agilis",50,0,0,0,0,0,30,20,0,0,"Ref_1","ABC",22,"mammal"
"26","Gracilinanus ignitus",50,0,0,0,0,0,30,20,0,0,"Ref_2","D1",18.9,"mammal"
"27","Hyladelphys kalinowskii",60,10,0,0,0,10,20,0,0,0,"Ref_3","D2",16.75,"mammal"
"28","Lestodelphys halli",0,100,0,0,0,0,0,0,0,0,"Ref_1","ABC",76,"mammal"
"29","Lutreolina crassicaudata",20,40,20,20,0,0,0,0,0,0,"Ref_1","ABC",537.3,"mammal"
"30","Marmosa murina",40,10,10,0,10,0,30,0,0,0,"Ref_1","ABC",26,"mammal"
"31","Marmosa xerophila",40,10,10,0,10,0,30,0,0,0,"Ref_1","ABC",46.2,"mammal"
"32","Marmosa tyleriana",40,10,10,0,10,0,30,0,0,0,"Ref_1","ABC",32.4,"mammal"
"33","Marmosa rubra",40,10,10,0,10,0,30,0,0,0,"Ref_1","ABC",63,"mammal"
"34","Marmosa quichua",40,10,10,0,10,0,30,0,0,0,"Ref_2","D1",38.23,"mammal"
"35","Marmosa mexicana",40,10,10,0,10,0,30,0,0,0,"Ref_1","ABC",49.45,"mammal"
"36","Marmosa lepida",40,10,10,0,10,0,30,0,0,0,"Ref_1","ABC",14,"mammal"
"37","Marmosa andersoni",40,10,10,0,10,0,30,0,0,0,"Ref_1","ABC",47.4,"mammal"
"38","Marmosa robinsoni",40,10,10,0,10,0,30,0,0,0,"Ref_1","ABC",56.67,"mammal"
"39","Marmosops handleyi",50,0,0,0,0,0,50,0,0,0,"Ref_1","ABC",30.7,"mammal"
"40","Marmosops juninensis",50,0,0,0,0,0,50,0,0,0,"Ref_2","D1",31.57,"mammal"
"41","Marmosops pinheiroi",50,0,0,0,0,0,50,0,0,0,"Ref_23","ABC",31.57,"mammal"
"42","Marmosops paulensis",50,0,0,0,0,0,50,0,0,0,"Ref_2","D1",38.89,"mammal"
"43","Marmosops parvidens",50,0,0,0,0,0,50,0,0,0,"Ref_1","ABC",15,"mammal"
"44","Marmosops noctivagus",50,0,0,0,0,0,50,0,0,0,"Ref_1","ABC",21,"mammal"
"45","Marmosops neblina",50,0,0,0,0,0,50,0,0,0,"Ref_2","D1",31.57,"mammal"
"46","Marmosops bishopi",50,0,0,0,0,0,50,0,0,0,"Ref_2","D1",19.5,"mammal"
"47","Marmosops impavidus",50,0,0,0,0,0,50,0,0,0,"Ref_1","ABC",40.5,"mammal"
"48","Marmosops incanus",50,0,0,0,0,0,50,0,0,0,"Ref_1","ABC",62.3,"mammal"
"49","Marmosops fuscatus",50,0,0,0,0,0,50,0,0,0,"Ref_1","ABC",60,"mammal"
"50","Marmosops dorothea",50,0,0,0,0,0,50,0,0,0,"Ref_1","ABC",37.5,"mammal"
"51","Marmosops cracens",50,0,0,0,0,0,50,0,0,0,"Ref_1","ABC",25.5,"mammal"
"52","Marmosops invictus",50,0,0,0,0,0,50,0,0,0,"Ref_1","ABC",29.2,"mammal"
"53","Metachirus nudicaudatus",30,20,20,0,10,0,20,0,0,0,"Ref_1","ABC",375,"mammal"
"54","Micoureus demerarae",90,0,0,0,0,0,10,0,0,0,"Ref_1","ABC",75.75,"mammal"
"55","Micoureus regina",90,0,0,0,0,0,10,0,0,0,"Ref_1","ABC",118.6,"mammal"
"56","Micoureus paraguayanus",30,0,0,0,30,0,20,20,0,0,"Ref_21","ABC",112.43,"mammal"
"57","Micoureus constantiae",90,0,0,0,0,0,10,0,0,0,"Ref_1","ABC",90,"mammal"
"58","Micoureus alstoni",90,0,0,0,0,0,10,0,0,0,"Ref_1","ABC",132.3,"mammal"
